site_id,year,vi_index,n_obs,method,r2,rmse,corr,vmin,vmax,S,greenup_kinetic_i,A,senescence_kinetic_i,leaf_out_10,leaf_out_50,leaf_out_90,EOS10,EOS50,EOS90
US-Bar,2015,NDVI,14,double_logistic,0.9176703861874581,0.04863592847093164,0.9627655234174866,0.5599865095174322,0.8805417820343914,142.2807991140087,1.1423525905650882,282.4778695035837,0.40546301522400763,140.35724899617648,142.2807808899433,144.20592131017509,287.8974081682979,282.4778714482515,277.05864882117606
US-Bar,2015,EVI,14,double_logistic,0.9827877056259263,0.02555411823681916,0.9914312172180139,0.22912974149149526,0.6708881304866646,129.09032203478327,1.1735065867079164,281.8592179112668,0.1622526922566186,127.21642214782165,129.09030605849154,130.96277895232254,295.39330297855054,281.85761405615926,268.3161322000424
US-Bar,2015,NIRv,14,double_logistic,0.9809926315564248,0.015513257000936524,0.9905518972160635,0.0785614648401341,0.3485604692505549,129.02755332191597,1.1870061936991216,282.92049974281383,0.09574666187526311,127.17645464638721,129.02757140789555,130.88017669813283,305.2959319800818,282.80338795355624,259.9069683322272
US-Bar,2016,NDVI,16,double_logistic,0.9659120922611363,0.03138136237165332,0.9837503358427604,0.5069556524042144,0.8844183081967841,139.72296669780837,0.3811639342068054,284.0313207919444,0.14666022198230827,133.95790931906834,139.72296257320187,145.48806811069855,298.96146075485046,284.0209657612683,269.043648417146
US-Bar,2016,EVI,16,double_logistic,0.9896524092868567,0.02079481853775917,0.9948179935069528,0.24817293604174703,0.7138573968816542,141.09299213172966,0.302459099222644,274.47541282231396,0.09999138278351949,133.82779029603913,141.09249844762016,148.35523502274188,296.16701249434146,274.41964074450914,252.47705994063753
US-Bar,2016,NIRv,16,double_logistic,0.9891393727858043,0.01281017186550915,0.9946069414240457,0.09853517267603078,0.38198597848784915,141.4313775220128,0.3183402764407403,274.60312507699456,0.09084724180383409,134.52859895999384,141.43057662520627,148.32971797555885,298.25736285401547,274.49739771197187,250.37189440659364
US-Bar,2017,NDVI,12,double_logistic,0.9752951937818033,0.01889192932353081,0.9882649005373313,0.557613288885868,0.8679200041157944,137.93373571046064,0.6358207984698782,281.413212552028,0.19051161977133452,134.47725631367385,137.9337314590013,141.3894749128875,292.7248871110483,281.36812604570537,269.85445971360724
US-Bar,2017,EVI,12,double_logistic,0.959155995294354,0.03301513521636426,0.9793890639996828,-0.25673002743546297,0.7960138394141206,38.59954123251595,0.01615845636843913,298.4173114927978,0.037174566753986,38.257414875004315,85.3013995535098,153.93525865891803,304.067495244755,280.1131253932295,242.2176102533504
US-Bar,2017,NIRv,12,double_logistic,0.9414630055448765,0.02308520562128375,0.9702910022729241,-0.19713860880149287,0.6749975213601608,98.19795080143578,0.009668005500526813,295.742201081838,0.02636231837695198,41.73886496777766,97.82733169425875,162.62954582949314,303.3737851279726,276.3860488213222,236.891355932754
US-Bar,2022,NDVI,18,double_logistic,0.9028327321657242,0.04503377074091069,0.9508404440206224,0.5682461267691638,0.8751187717301887,137.47079063344833,2.652920296858612,277.39167173295357,0.29443452646170526,136.63745560696879,137.47095357084214,138.29955444322601,284.8542714712495,277.3916705110251,269.9286653753154
US-Bar,2022,EVI,18,double_logistic,0.9806189272038045,0.02765218284562955,0.9905541436601593,0.2069898720227468,0.7062788849579265,135.99701310388087,0.2947553247059733,273.9909683308219,0.0765444331756896,128.54113926507256,135.9947849056058,143.44046258400974,302.47641036554813,273.9555001365362,245.30995303717393
US-Bar,2022,NIRv,18,double_logistic,0.9799136311654907,0.016258204031638107,0.9902025542097758,0.07295846375618048,0.3715836541368081,136.03585561037295,0.3049641181528444,274.4692104137052,0.06507858645487608,128.8295514603298,136.03120175626967,143.21738143442153,307.5492055107665,274.35614140950935,240.77315636556747
US-Bar,2023,NDVI,25,double_logistic,0.9203664847522347,0.03489869074446231,0.959844153800198,0.5615062610551528,0.8426440334444233,132.7027598957981,2.9214364349368713,278.7347226067081,0.2939119958082102,131.94607166178457,132.70281049242544,133.45835983050236,286.2109502504143,278.7347241230875,271.2585275351877
US-Bar,2023,EVI,25,double_logistic,0.9646999703978592,0.030312102258872757,0.9823161160913251,0.21643904600689268,0.6320638780868948,131.4251021103488,0.18796553552800346,275.1601030534018,0.07673748878023638,119.87433019403616,131.44659942642585,143.09477934809283,303.6111318752988,275.14025250870156,246.59972359628355
US-Bar,2023,NIRv,25,double_logistic,0.9556250651280976,0.01941836297299246,0.9777865436299891,0.07773491587950022,0.31771896817407375,131.36367677301186,0.1974301273216429,275.5942510432607,0.06832198236750002,120.33140680898767,131.3735149141008,142.45179306676275,307.321587226933,275.5371409323118,243.55429848276432
US-CMW,2013,NDVI,15,double_logistic,0.9580561463384469,0.021671976244832004,0.9788676912184185,0.16796385535981515,0.5114634065446297,154.71000298832485,0.05113686692945824,321.558922904352,0.03675568926833225,119.15545047954846,154.6956614108673,190.9305975428662,357.1732074248834,317.33270277268934,270.5369229062968
US-CMW,2013,EVI,15,double_logistic,0.9471680186157045,0.016578672758257595,0.9732559635356162,0.0693169014102814,0.3270664931377693,148.4476318622309,0.04699608784973994,304.25377962378445,0.030502200072958115,113.89354511468171,148.1675250883214,183.6382433918404,352.18822134188935,303.78554323799233,253.45085224159055
US-CMW,2013,NIRv,15,double_logistic,0.9392073304435009,0.007988888654802389,0.9691406347440206,0.016383222155878466,0.1406478791919563,150.43154789667827,0.04483512709541539,294.7841051588965,0.026913076549790034,113.89926944273675,148.6638106739263,183.4139993812338,350.5844813137759,298.16617193877255,247.1603310957218
US-CMW,2014,NDVI,16,double_logistic,0.9644920441419238,0.02332854299756878,0.9821364870644751,0.2018057556722109,0.9761101496662185,240.99889554592954,0.020469969386707334,304.9396041897507,0.04372401462413583,101.5416316818297,186.29347132708918,235.69133404302784,322.5255272681074,303.4869120475579,279.96687797429126
US-CMW,2014,EVI,16,double_logistic,0.949525922387677,0.01616199152490393,0.9746098979321964,0.08368419822822248,0.43129301206208265,192.1772672017279,0.019022921667215135,298.08724845051506,0.0501683485443209,71.3457819113606,159.30853598167894,218.36958827283814,320.16734329490055,297.3473709583334,271.0982637398807
US-CMW,2014,NIRv,16,double_logistic,0.9414353380641043,0.007772850241783344,0.9705002450984608,0.024964986663948446,0.1729216429099774,188.1513868930736,0.02016668578868051,295.0983273240718,0.05329120391346961,73.9659857524528,159.61040866556914,217.3697297266966,319.0284881812752,295.3855854202235,269.4547293372151
US-CMW,2015,NDVI,19,double_logistic,0.9548361476215145,0.026112370586356477,0.977257810040045,0.19597640464829955,0.9796501648485376,211.34495434600407,0.02299375115971702,277.9431373678688,0.03239247839722477,84.00049204060214,161.83621392221386,209.3915558689636,330.97515778840125,293.7786753551142,259.8283540342893
US-CMW,2015,EVI,19,double_logistic,0.9644166592212727,0.015708118279720705,0.9820952129689251,0.06996265772791813,0.6095978002972974,200.1325719547232,0.022069453215037046,267.52964455837076,0.03261843660102089,70.13837202218242,148.39240085829047,196.98659320992556,325.4161403543746,284.00816976216055,248.70157500848882
US-CMW,2015,NIRv,19,double_logistic,0.9585278267069557,0.007306990899640184,0.9791236996230201,0.020715724041387013,0.25552192239007004,200.53644960662683,0.02465120527699793,261.0939017098632,0.034047468739966516,80.38361762241296,153.28248580003293,197.6613847501839,321.91545249443715,279.6707246130369,245.72858947816545
US-CMW,2016,NDVI,16,double_logistic,0.9832638176327455,0.015337824763942113,0.9917076396085734,0.1914625065643449,0.5728186888804304,158.72774776052842,0.028841837301154517,313.1067190840108,0.04902224684922891,82.99029013419214,152.0512589190385,208.5612975401825,339.21684731493934,311.0247218628783,278.4978405854906
US-CMW,2016,EVI,16,double_logistic,0.9906907231229276,0.007307433024712014,0.9953593031499822,0.07816641768949237,0.30800315060146954,138.1076731188034,0.03655903946400241,308.1809764295348,0.04680098690114571,78.72800347351,135.42974511700328,185.8443405012343,337.03157317718603,305.22396023679596,267.9143055177487
US-CMW,2016,NIRv,16,double_logistic,0.9903322592772131,0.0031884318186189715,0.9951678650900725,0.022478866306252385,0.12137819054081056,140.2407667443498,0.036830443778747834,305.2663625937083,0.047586200491174194,80.92726199672128,137.3282603925508,186.95473649090582,335.76396099620996,303.231394119671,266.4336660134199
US-CMW,2017,NDVI,14,double_logistic,0.9746965284306741,0.02509239829087909,0.9872981058350345,0.21505148454574036,1.1819017335786952,192.19233260762138,0.044815362164953514,251.01447410418655,0.025106901184169108,144.47972254001317,181.43140015590197,209.83395480646365,341.4518139097864,289.7642350983496,251.52849347773468
US-CMW,2017,EVI,14,double_logistic,0.9713878464903096,0.019195943958783792,0.9856232516002056,0.09580028928511028,0.8158195169473165,196.1593954982497,0.04107985668665406,251.58064176590844,0.03099578261994953,133.7015345717886,178.32808947849324,208.53470809455186,333.7247341516532,283.55332157562935,248.7575659929987
US-CMW,2017,NIRv,14,double_logistic,0.9727402272781963,0.008871284785785095,0.9862780452719602,0.030562197690966197,0.3744824088230773,199.85077161332603,0.043876687066516526,251.03692471687904,0.03445790047262623,140.08690901346125,182.42827630939402,210.64803254761125,328.3924004607904,280.05983767811944,247.87155694322044
US-CMW,2018,NDVI,17,double_logistic,0.9717682102606978,0.020532017682925584,0.9857876258034379,0.21537744827749003,0.5133082637835016,142.69197942691073,0.05471981435665374,321.08794465418526,0.09456013981534934,102.6256699291918,142.58054101085455,182.15023019691873,343.46329135602554,320.98262355276944,298.140819103816
US-CMW,2018,EVI,17,double_logistic,0.9799343198553973,0.011575850570962892,0.9899544131754331,0.09521405646847443,0.295502857979827,132.669969870596,0.07054900470448537,308.04911568301213,0.05458421340373834,101.42109730867273,132.42731333378114,162.64612907313193,343.3377024153696,307.2337381728003,268.76460799961046
US-CMW,2018,NIRv,17,double_logistic,0.9778787751089665,0.00538403467369476,0.9889670352835221,0.029421648850690204,0.11803437828499078,133.93626060123677,0.07247820241380704,303.22553321159995,0.05179639755198149,103.46883442770326,133.62440225858663,162.79730181944652,340.8054837543647,302.55984048192215,262.38624748808866
US-CMW,2019,NDVI,13,double_logistic,0.981932191778234,0.015731909372705733,0.9909588695358292,0.2060987811471747,0.5019091846830197,129.4824666705261,0.05848748067912813,314.7711546731938,0.17712844988653784,93.46921217589427,129.7894099578964,167.14367675274914,327.1521690313403,314.7711193687727,302.38943581165034
US-CMW,2019,EVI,13,double_logistic,0.5217995701588098,0.054761868513412366,0.7469991609537475,0.1405332327923406,0.2888431435377523,124.3655477387143,0.940380637944587,239.09733105842432,0.7377918771784205,122.02679269812732,124.36552918426001,126.70338721541704,242.07708168377468,239.09734537074127,236.11896104761902
US-CMW,2019,NIRv,13,double_logistic,0.9922522729805451,0.0031556850683258993,0.9961224749439017,0.026274567880725932,0.11593383459735336,123.35209486260737,0.08106204569988518,310.8151196514201,0.1076333552326201,96.5605157814833,123.40807071956755,150.45135459184146,330.67133084525875,310.70642306358366,290.36865335709894
US-CMW,2020,NDVI,18,double_logistic,0.9711836496601828,0.016665210904174627,0.9854956685383449,0.22843727838462566,0.47432016437526775,117.48335659387764,0.0797015102394214,316.8142408724254,0.06846324460345288,89.95429377869765,117.46246175817465,144.89782189259546,343.142480988525,315.49839503424954,284.14873607885664
US-CMW,2020,EVI,18,double_logistic,0.9839670629088177,0.009352751092212853,0.9919609028697619,0.09717395280747587,0.29044550640490124,115.05935437995339,0.07948380717175929,314.6534117365612,0.053610621959703175,87.44141610805549,114.99201810370919,142.31596796163288,344.37374460607174,311.9006993612172,272.66474245816914
US-CMW,2020,NIRv,18,double_logistic,0.9832355553528119,0.004389919867592665,0.9915894958919336,0.031224238004572368,0.11674761899200685,119.09544297143795,0.09997203291834268,311.6874142765258,0.05459118447427576,97.09949925254008,119.05503471120291,140.87321577450007,342.4904445972719,309.43820880028414,270.51900787271967
US-CMW,2021,NDVI,20,double_logistic,0.9082197624000838,0.0407457493366634,0.9539577283365939,0.22549478185055682,1.0969589408030187,189.8203349608872,0.03369574580963327,259.38976711343867,0.022635489901291918,119.17186683861998,170.97472452510252,207.90585607690298,339.0892665994411,295.8045863192315,256.7084332238185
US-CMW,2021,EVI,20,double_logistic,0.8997986195977844,0.027556844711805657,0.9504874251356427,0.10892352201028607,0.6819822412103046,185.67174745872256,0.031130939069078094,255.63640152483256,0.02714597821118404,98.54877747436906,158.94734830859687,198.31850649369554,332.9161565315139,285.7363043957929,247.2131402859208
US-CMW,2021,NIRv,20,double_logistic,0.888860050852528,0.013788169636146267,0.9452042565756765,0.03552039769876492,0.310289917891245,187.14981749022823,0.03177549567439836,253.82300545157977,0.028980821703929755,100.3324909013178,159.87636170152973,198.19956775918232,330.25647893468755,282.6810314720776,245.3860391886803
US-Ced,2014,NDVI,14,double_logistic,0.7746145183199136,0.03546319431541534,0.8826801485639084,0.6250808796500253,0.8025767578071021,170.214644080355,0.18417699172597063,239.6489248986098,0.5687949633265096,158.28365764595955,170.21343507926895,182.13873232884984,243.51339176424307,239.64930283021215,235.7866934548968
US-Ced,2014,EVI,14,double_logistic,0.9808023372444666,0.009707033188140372,0.9905329283605749,0.2866480531052781,0.511608634163272,150.1934343932845,0.09023784467046471,238.47497456918416,0.04023787150721438,125.26796419580782,148.0870271076382,167.20007004521713,295.07184794236866,245.31739865686234,207.68687599531117
