site_id,lat,lon,sensor,date,NDVI,EVI,NIRv,valid_pixel_frac
US-Seg,34.3603,-106.7003,L30,2025-11-06,0.18160171095434402,0.1128161423072284,0.041765441823316506,1.0
US-Seg,34.3603,-106.7003,L30,2025-11-14,0.17516326321562634,0.10784399098486455,0.039544904011286214,1.0
US-Seg,34.3603,-106.7003,L30,2025-11-21,0.1945241817980049,0.09268890027933797,0.03067135606667775,0.2526565365589489
US-Seg,34.3603,-106.7003,L30,2025-11-22,0.18421716767302143,0.09522942502425719,0.032126776880531754,1.0
US-Seg,34.3603,-106.7003,L30,2025-11-29,0.16069829813096237,0.09218223073652261,0.032012098783993234,1.0
US-Seg,34.3603,-106.7003,L30,2025-11-30,0.15786496275348977,0.0926073844121812,0.03246062970416963,1.0
US-Seg,34.3603,-106.7003,L30,2025-12-07,0.1582558018724991,0.09093427552350536,0.03150872691194871,1.0
US-Seg,34.3603,-106.7003,L30,2025-12-16,0.15066725144534626,0.08807650076243916,0.030603264898806683,1.0
US-Seg,34.3603,-106.7003,L30,2025-12-23,0.15250775097799246,0.08775789999474695,0.03045803953110067,1.0
US-Seg,34.3603,-106.7003,L30,2025-12-31,0.15136405776180614,0.08863135823512043,0.03102212470300707,1.0
US-Ses,34.335,-106.7448,L30,2013-04-19,0.12446323901041689,0.09179551851425281,0.035816006495294,1.0
US-Ses,34.335,-106.7448,L30,2013-05-05,0.12443278947597225,0.09361502685619658,0.03692079359800396,1.0
US-Ses,34.335,-106.7448,L30,2013-05-12,0.13161758302282917,0.0950652238262556,0.0372522001425736,1.0
US-Ses,34.335,-106.7448,L30,2013-05-21,0.12297450328782611,0.09276049978050832,0.03689172686079085,1.0
US-Ses,34.335,-106.7448,L30,2013-05-28,0.12701268583358374,0.09386443362622701,0.03747127808950445,1.0
US-Ses,34.335,-106.7448,L30,2013-06-06,0.12610524532810818,0.0955213050728928,0.03805805432205334,1.0
US-Ses,34.335,-106.7448,L30,2013-06-13,0.1328548365700916,0.0978980732532203,0.03866510631531995,1.0
US-Ses,34.335,-106.7448,L30,2013-06-22,0.12623294560928308,0.09685520799356204,0.03901716890373565,1.0
US-Ses,34.335,-106.7448,L30,2013-06-29,0.1357987654160788,0.09889727436811206,0.03852317770937816,1.0
US-Ses,34.335,-106.7448,L30,2013-07-24,0.1717594321144266,0.14608201306604507,0.06457035106579141,0.2494891992373254
US-Ses,34.335,-106.7448,L30,2013-07-31,0.19062232259005432,0.13884691530143312,0.05654986860368674,1.0
US-Ses,34.335,-106.7448,L30,2013-08-09,0.21392350027814827,0.1558925198650367,0.06355926136946338,1.0
US-Ses,34.335,-106.7448,L30,2013-08-16,0.2332314866175849,0.16884780139084354,0.06985719593616446,1.0
US-Ses,34.335,-106.7448,L30,2013-09-01,0.20470627051107648,0.1461208201273833,0.05927240919766561,1.0
US-Ses,34.335,-106.7448,L30,2013-09-17,0.2703209158436565,0.19255199720033003,0.07943449115798377,0.012746128608028
US-Ses,34.335,-106.7448,L30,2013-09-26,0.2566370222553149,0.18243502388331653,0.07485040626745446,1.0
US-Ses,34.335,-106.7448,L30,2013-10-03,0.24911177704085827,0.17274332987144067,0.07070438247807283,1.0
US-Ses,34.335,-106.7448,L30,2013-10-12,0.22164910229949683,0.15356578059901996,0.06096402292416039,1.0
US-Ses,34.335,-106.7448,L30,2013-10-19,0.2127561854308586,0.14474680153776098,0.0572554814808392,1.0
US-Ses,34.335,-106.7448,L30,2013-10-28,0.19243881779522626,0.13214973120957968,0.05129492736731252,1.0
US-Ses,34.335,-106.7448,L30,2013-11-04,0.19149636508413548,0.12758105891714033,0.04916118730303681,1.0
US-Ses,34.335,-106.7448,L30,2013-12-06,0.17922640971878237,0.10505201570374142,0.0378786003278625,0.2539851560615781
US-Ses,34.335,-106.7448,L30,2013-12-15,0.16946846505674945,0.1075539856639517,0.03919517600702147,1.0
US-Ses,34.335,-106.7448,L30,2013-12-22,0.18479177696354127,0.10800742762624106,0.03853599615250826,1.0
US-Ses,34.335,-106.7448,L30,2013-12-31,0.1630714427308853,0.1044582060761142,0.03802643406961736,1.0
US-Ses,34.335,-106.7448,L30,2014-01-16,0.1564541102789344,0.10188115412159356,0.037238636725636674,1.0
US-Ses,34.335,-106.7448,L30,2014-01-23,0.1589923333727975,0.10353260058993885,0.03806702995919112,1.0
US-Ses,34.335,-106.7448,L30,2014-02-17,0.14686157575105527,0.09916505244721341,0.03670344882469293,1.0
US-Ses,34.335,-106.7448,L30,2014-02-24,0.1525361960414772,0.10158511292412532,0.03803207910508062,1.0
US-Ses,34.335,-106.7448,L30,2014-03-05,0.14792135643013346,0.1011659772491365,0.037852903530771455,1.0
US-Ses,34.335,-106.7448,L30,2014-03-12,0.14993766411263376,0.10200060010635197,0.03870509575551914,1.0
US-Ses,34.335,-106.7448,L30,2014-03-21,0.14186100469741436,0.09916484527898141,0.037647366156579334,1.0
US-Ses,34.335,-106.7448,L30,2014-04-06,0.14383229166211817,0.10478687602388896,0.04071400260869488,1.0
US-Ses,34.335,-106.7448,L30,2014-04-13,0.14734375541445494,0.10370642000421507,0.04038095881779871,1.0
US-Ses,34.335,-106.7448,L30,2014-04-22,0.14444431347630787,0.10365089177166431,0.04021255096432189,1.0
US-Ses,34.335,-106.7448,L30,2014-05-15,0.14532228098476047,0.1047827115939631,0.04130433130247539,1.0
US-Ses,34.335,-106.7448,L30,2014-05-31,0.14715181747440406,0.10555252419558138,0.0416065315767435,1.0
US-Ses,34.335,-106.7448,L30,2014-06-09,0.13816331543449775,0.10321514110619849,0.040999226774178756,1.0
US-Ses,34.335,-106.7448,L30,2014-06-16,0.14648376368768454,0.10954075518056096,0.0447222526926131,1.0
US-Ses,34.335,-106.7448,L30,2014-06-25,0.14199690111559635,0.10639901484326908,0.042392210328489284,1.0
US-Ses,34.335,-106.7448,L30,2014-07-11,0.14132874392200842,0.10430419462390267,0.04126857152361845,1.0
