site_id,year,vi_index,EOS90,EOS50,EOS10,senescence_kinetic_i,leaf_out_90,temperature_senescence_rate,photoperiod_senescence_rate
IT-Ren,2024,NIRv,230.81283332126748,275.9100851812584,308.10520759570346,0.0422293662803289,162.19237436053746,-0.10461429709530974,-0.05442136009695869
IT-Ren,2025,NDVI,332.00821855789974,340.4123845892347,350.76532058744044,0.058267184330883,327.67359646959244,0.20803818369453048,-0.017138588588067005
IT-Ren,2025,NIRv,217.7449558465319,257.3623723622247,308.37336702898966,0.0368848672656776,175.56437816184956,-0.1329685618729097,-0.05363260327468297
IT-SR2,2014,NDVI,,,,1.055298848491343,331.01885566278975,,
IT-SR2,2014,NIRv,304.290680213523,307.05763451222055,309.8244592950204,0.7943807575775699,186.9951033633245,1.3457000000000001,-0.0424733790851271
IT-SR2,2015,NIRv,,,,1.5840699026234832,168.58962329797947,,
IT-SR2,2016,NDVI,,,,0.0646432780887644,6.0,,
IT-SR2,2018,NIRv,,,,0.0379479318657415,230.8388476369749,,
IT-SR2,2020,NIRv,130.95115063886223,188.27375194137792,293.20345781752184,0.0101893356952495,116.26262520388111,-0.010564356216159306,-0.023729734819088997
IT-SR2,2022,NDVI,,,,0.0403749561637954,-3.0,,
JP-Fhk,2022,NDVI,297.62415043488005,305.64099078638,313.6581091992881,0.2740997903820515,126.19294132867506,0.1518529411764706,-0.03146104488744409
JP-Fhk,2022,NIRv,275.610692899972,296.23452203830544,316.841483771903,0.1065291610255649,126.4297897314664,-0.1676506968641115,-0.03374991361499875
JP-Fhk,2023,NDVI,270.6553538016025,310.6761487716882,345.98014343889275,0.0537770627123462,128.96322883649938,-0.15040950213371265,-0.027870971105495763
JP-Fhk,2023,NIRv,234.2465501122442,281.8029298354936,328.59690886732926,0.0429859428414346,142.77758248153603,-0.18098937976375384,-0.034141853621666315
JP-Fmt,2014,NIRv,214.6612628258275,283.5710877928256,340.6455244107813,0.030035263082805,102.73049406508213,-0.14722369703787028,-0.03235141817776583
JP-Fmt,2015,NDVI,266.0521032421648,304.7129953346396,340.83237990205873,0.0561771355818031,164.22001201334788,-0.14400161421695667,-0.030002817038434482
JP-Fmt,2015,NIRv,229.74556102340176,274.6869716030128,321.9029144884904,0.0437437421045073,189.8950065534029,-0.12132427600450042,-0.03529581883313563
JP-Fmt,2016,NDVI,302.1807860578283,329.49106641542824,354.66950771237344,0.0795601556673565,123.75609876851846,-0.11165704772475032,-0.01905720897637385
JP-Fmt,2017,NIRv,203.96687717931036,274.9489135694579,334.8570570784454,0.0263753796794685,123.6840315413352,-0.14796641755191373,-0.03267343396351941
JP-Fmt,2018,NDVI,300.3133226240764,328.79432207007454,352.0941361298985,0.0748333351911558,103.34126672393498,-0.197623409886451,-0.02045190859549367
JP-Fmt,2018,NIRv,244.1017581836078,295.8343323525038,339.6047369757306,0.0411700520648101,107.39568927759,-0.14404885218365063,-0.03211455906504534
JP-Fmt,2019,NDVI,315.12646281201006,329.2257534306665,342.8231507885648,0.1551108241787993,212.34291132722316,-0.2896141636141636,-0.019614815814487513
JP-Fmt,2019,NIRv,243.01968330539543,291.686930459928,337.6470197279753,0.0334232139162625,212.25889676549528,-0.19737242350901268,-0.032564361413630664
JP-Fmt,2020,NDVI,282.65088496259415,318.6780440572752,350.1590914921832,0.0597029300196301,130.55590213241211,-0.13340418750238575,-0.02493864644429328
JP-Fmt,2020,NIRv,207.65477010145423,268.9658653671879,331.2496174130068,0.0290206536035365,134.989740182832,-0.14888087490165222,-0.03337093258951795
JP-Fmt,2021,NIRv,260.99330839801814,299.0196520063563,335.32135802371016,0.0573576610313284,110.83218328137458,-0.1786051209103841,-0.03180405606508491
JP-Fmt,2022,NDVI,283.56958429382854,323.67160671503626,354.128514759934,0.052297306461257,125.71862899175017,-0.14792622401073108,-0.023508090807329005
JP-Fmt,2022,NIRv,212.02316969890052,277.1055224750823,336.3427475422772,0.0288700648083982,129.37481427029252,-0.1499544453186467,-0.03292620010279439
JP-Fmt,2023,NDVI,291.6529491933661,324.56209197346305,352.93721613813926,0.0652606007875529,127.39681154316044,-0.15892390269698572,-0.022220261906981443
JP-Fmt,2023,NIRv,230.9448614166578,290.63191142539495,342.6881786892386,0.0334407700754662,127.11144491381818,-0.19731995079782683,-0.032004718462674484
NL-Loo,2022,NDVI,,,,1.9253366383423685,341.1892341023427,,
NL-Loo,2022,NIRv,231.81710040586296,275.24832535737033,331.5249640009781,0.0203220069154787,183.7948787513899,-0.1202426462646265,-0.06257882342270209
NL-Loo,2023,NIRv,220.97470370001088,242.35676830214103,259.6802103062722,0.0161697415032531,182.77418916431552,0.022737044534412956,-0.06602982111083217
NL-Loo,2024,NDVI,285.33624990907254,288.1383860876778,290.97551009574545,0.7344293887255424,261.02045363266905,1.1693,-0.06661299408409904
