site_id,year,vi_index,n_obs,method,r2,rmse,corr,vmin,vmax,S,greenup_kinetic_i,A,senescence_kinetic_i,leaf_out_10,leaf_out_50,leaf_out_90,EOS10,EOS50,EOS90,solstice_doy,growing_season_length,total_gpp_growing_season,total_reco_growing_season,mean_radiation_growing_season,mean_temperature_growing_season,gpp_sos10_to_solstice,gpp_solstice_to_eos10,gpp_solstice_to_eos90,photoperiod_at_EOS90
DE-GsB,2015,NIRv,12,double_logistic,0.825910565042213,0.0294748554909204,0.9103406277999164,0.1296510708245219,0.3956612037131725,109.92607521699269,0.0954348924696082,244.47468145677712,0.0139003088445657,89.41104001998313,109.27059047134516,128.0502827402349,318.5318221037712,248.19169917364252,179.2516882490012,172,138.92110870229737,1379.187307,1309.38951,177.2195633187773,13.191336244541485,724.85827,660.9735370000001,53.353579999999994,16.461175770226404
DE-GsB,2022,NIRv,28,double_logistic,0.6536322981564034,0.0320728182845667,0.8131485420632163,0.1821194217998044,0.4979577617462453,106.11552101300848,0.1264406687337747,121.88635225316392,0.0407589446308972,-5.0,105.09706868718985,115.74965334454272,200.69217501145644,156.8391594131937,134.73176166136966,172,51.74209072600385,957.10012384,926.3326300000001,163.60690499999998,9.628275,812.3547938399997,149.21775,,15.418147276755958
DE-GsB,2023,NDVI,15,double_logistic,0.6151262429733424,0.041555858753373,0.8140622161749033,0.6831068738999803,0.8646182341435706,112.08348737632326,0.1022358471133843,159.89177147352993,0.3783410414353738,95.49353177290487,112.6709970878156,131.12284470992682,165.69489115752228,160.00122027037855,154.59293848424076,172,47.330223182562946,575.0768499999998,565.39865,216.61935714285715,11.773142857142858,604.03452,,,16.2351915953615
DE-GsB,2023,NIRv,15,double_logistic,0.7001918017385453,0.0270155856788768,0.8491483436377061,0.2418398468636237,0.3824061871761648,122.1132550957407,0.1692044980538639,160.49950176845385,0.3265276185481637,109.08776459385362,121.83244868214138,133.72280483541323,167.3016320208572,160.64057967730324,154.3723935201983,172,38.80813099516186,494.63493000000005,513.10814,231.83127586206896,12.967103448275864,513.93775,,,16.228815805312745
DE-GsB,2024,NDVI,18,double_logistic,0.8460177517865748,0.0241266599087549,0.9201767229028616,0.6935892759692769,1.1288638930381698,103.47219307094905,0.0776532575495922,118.20874976163476,0.0234974639025902,84.47137972669834,102.60911960300832,120.09700848763838,255.6597186503307,186.82629022001024,151.19463306945897,173,84.21717061700191,1271.793956,1222.4901599999998,210.36965497076025,16.39530409356725,646.197366,632.98387,,16.12936394968501
DE-GsB,2024,NIRv,18,double_logistic,0.8692997478591469,0.0250531128511601,0.9343643941716726,0.1873981778597944,0.5967807448117737,100.3192326690074,0.0657224831920527,135.7346816688307,0.0171645173194605,76.05680133670631,98.96989517892324,120.70354260176182,285.74254782338846,208.2082010041235,160.9996492878454,173,109.23830582520027,1410.166486,1378.80136,192.3095789473684,15.547545454545453,672.055536,745.49823,,16.38883120020535
DE-Hai,2022,NDVI,20,double_logistic,0.9561781595114108,0.0325890709992206,0.9798001289971704,0.5118774900365534,0.8860920444300902,117.88174279790444,0.1539106111710999,299.13066300065793,0.0784665393189346,103.6044594579908,117.87976288887398,132.1481895362449,317.54132253098004,296.5529716252498,269.651723507806,172,178.67320873637584,1429.8897023000002,898.680513,185.32007476635513,14.958140186915887,546.36775,895.7501522999999,792.9640700000001,11.60707061898233
DE-Hai,2022,NIRv,20,double_logistic,0.9517495656118312,0.0276961891194297,0.9758056239983652,0.0765514213748167,0.4119780340267418,125.85218321748356,0.9568874456401296,249.65331998791945,0.0342811917111404,123.57533520725632,125.85010844923292,128.11690344344635,298.59115755577085,246.9138842317061,188.8099464775536,172,121.06377578247319,1361.7380200000002,744.617103,198.34672571428572,16.0622,485.11008000000004,888.85614,197.80778,16.119825038218373
DE-Hai,2023,NDVI,15,double_logistic,0.9955625697168458,0.0081113314750173,0.99778031463511,0.708757063607107,1.050796289893534,123.38691214816475,0.1891852272211425,273.8449981040603,0.0001,111.84177967690928,123.3918748218696,134.95938793878568,250.6883944181204,217.44112035897885,183.7565153930723,172,94.04924553710924,1244.5776799999996,547.0531999999998,219.59052517985612,15.687316546762592,464.16038000000003,792.3195,106.83779,16.228722965911004
DE-Hai,2023,NIRv,15,double_logistic,0.9931102109481112,0.0078571093566252,0.9965548657158948,0.1101858840717082,0.395969479974441,128.4325991004687,0.1865457951708568,281.52063818496777,0.0159848921378765,117.3759871576738,128.30595488965585,138.95767245944276,251.48620656507643,218.4376143313628,174.0620004327838,172,90.13165944170694,1255.10078,552.79701,221.58401492537314,16.046044776119402,464.16038000000003,802.8426,27.07425,16.327995035998647
