site_id,year,n_growing_season_days,passed,failed_variables,GPP_NT_VUT_REF_frac_bad,GPP_NT_VUT_REF_max_consecutive_bad_days,NEE_VUT_REF_frac_bad,NEE_VUT_REF_max_consecutive_bad_days,RECO_NT_VUT_REF_frac_bad,RECO_NT_VUT_REF_max_consecutive_bad_days
CA-TP3,2004,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2005,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2006,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2007,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2008,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2009,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2010,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2011,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2012,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2013,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2014,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2015,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2016,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2017,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2018,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2019,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2020,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2021,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2022,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2023,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2002,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2003,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2004,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2005,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2006,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2007,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2008,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2009,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2010,245,True,,0.0,0,0.0,0,0.0,0
